path.a	path.b	path.a.length	path.b.length	intersection	jaccard	euclidean
HG02886#2#JAHAOT010000031.1_87393_401061_0	HG01928#1#JAGYVQ010000053.1_16676493_17083407_0	313668	406914	312491	0.765739	309.192
HG03492#1#JAHEPI010000180.1_2103395_2543326_1	HG02257#1#JAGYVI010000005.1_101835875_102242843_0	439931	406968	406187	0.921661	185.809
HG02809.verkko_filt_mat.fa:haplotype1-0000023_94161320_94589755_0	HG01952#1#JAHAME010000077.1_16663592_16976329_0	428435	312737	312541	0.729161	340.72
HG02300.hifiasm_filt_pat.fa:h1tg000019l_103804174_104211156_0	HG02717#2#JAHAOR010000006.1_19663827_20070693_1	406982	406866	404693	0.989095	66.7982
HG00741#1#JAHALY010000007.1_18781197_19307680_1	HG01175#1#JAHAMA010000003.1_33204707_33808232_1	526483	603525	476369	0.728795	421.034
HG02257#2#JAGYVH010000034.1_98190388_98857961_0	HG005#2#JAHEPN010000023.1_51542210_51950070_0	667573	407860	404771	0.603539	515.646
HG00673#2#JAHBBY010000109.1_16675383_17177395_0	HG02723#1#JAHEOU010000204.1_2102082_2414876_1	502012	312794	310746	0.616486	439.675
HG01361#1#JAGYYX010000012.1_51565085_51878780_0	HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	313695	312739	312524	0.995585	37.229
HG03927.verkko_filt_pat.fa:haplotype2-0000800_29002142_29504057_1	HG02572#1#JAHAOW010000072.1_9428131_9835964_0	501914	407833	407430	0.811101	308.037
HG02004.hifiasm_filt_mat.fa:h2tg000002l_25152988_25559927_1	chr1_chm13_103304997_103901127_0	406939	596130	406809	0.682268	435.26
chr1_hg19_103998686_104406594_0	chr1_hg38_103456064_103863972_0	407908	407908	407908	1	0
HG01928#1#JAGYVQ010000053.1_16676493_17083407_0	HG02647.hifiasm_filt_pat.fa:h1tg000015l_103709681_104023301_0	406914	313620	310704	0.758129	314.843
HG00733#1#JAHEPQ010000019.1_46106835_46420495_0	HG03098#1#JAHEPM010000059.1_16676208_17105596_0	313660	429388	311617	0.722287	346.142
NA18906#2#JAHEON010000009.1_93748295_94249275_0	HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	500980	393007	374573	0.721145	380.58
HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	HG03927.verkko_filt_pat.fa:haplotype2-0000800_29002142_29504057_1	312739	501914	312552	0.622488	435.372
HG03486#2#JAHEOP010000248.1_2105565_2584784_1	HG01071#1#JAHBCF010000053.1_26607100_27108065_1	479219	500965	471144	0.925554	194.669
HG002#1#JAHKSE010000012.1_16776806_17183707_1	HG02071.verkko_filt_mat.fa:haplotype1-0000041_103610513_104018399_0	406901	407886	404718	0.986951	73.1505
HG02647.hifiasm_filt_pat.fa:h1tg000015l_103709681_104023301_0	HG01361#1#JAGYYX010000012.1_51565085_51878780_0	313620	313695	311652	0.987293	63.3325
HG01891#1#JAGYVO010000014.1_22855818_23168577_1	HG01099.hifiasm_filt_pat.fa:h1tg000003l_56136922_56638856_1	312759	501934	310799	0.616794	439.426
HG02717#1#JAHAOS010000015.1_16660311_17067250_0	HG03453#1#JAGYVW010000157.1_2105722_2585000_1	406939	479278	406112	0.845882	272.017
HG03540#1#JAGYVY010000208.1_95187_596142_0	chr1_hg19_103998686_104406594_0	500955	407908	406469	0.809064	309.718
HG03540#2#JAGYVX010000148.1_1368955_1877115_0	HG03579#1#JAGYVU010000029.1_91404_499180_0	508160	407776	401370	0.780017	336.446
HG02071.verkko_filt_pat.fa:haplotype2-0000736_102745972_103248026_0	HG01978#1#JAGYVS010000002.1_51519970_52021951_0	502054	501981	501832	0.999261	19.2614
HG03710.hifiasm_filt_mat.fa:h2tg000025l_86820256_87133924_0	HG04228.verkko_filt_mat.fa:haplotype1-0000023_103429213_103930285_0	313668	501072	312520	0.622277	435.546
HG02622#2#JAHAON010000012.1_51551779_52031001_0	HG02818#2#JAHEOR010000010.1_31775319_32183091_1	479222	407772	404726	0.839214	278.464
NA20129#2#JAHEPD010000155.1_90039_569275_0	HG02055#2#JAHEPJ010000017.1_24870122_25298560_1	479236	428438	395143	0.770964	342.619
HG02723#1#JAHEOU010000204.1_2102082_2414876_1	HG02293.verkko_filt_pat.fa:haplotype2-0000836_148310532_148812524_1	312794	501992	310804	0.616697	439.52
NA19240#1#JAHEOM010000047.1_30103390_30511199_1	HG02109#2#JAHEPF010000078.1_16678387_16991144_0	407809	312757	310817	0.758555	314.535
HG02717#2#JAHAOR010000006.1_19663827_20070693_1	NA20129#2#JAHEPD010000155.1_90039_569275_0	406866	479236	406552	0.847778	270.181
HG002.hifiasm_filt_mat.fa:h2tg000010l_40221609_40629467_1	HG02004.verkko_filt_pat.fa:haplotype2-0000813_139386576_140076845_1	407858	690269	407792	0.590716	531.548
HG00438#2#JAHBCA010000012.1_51513023_51826723_0	HG01243#1#JAHEOY010000013.1_90081_424495_0	313700	334414	302999	0.877965	205.222
HG02630#2#JAHAOP010000089.1_16669255_17076135_0	HG02300.verkko_filt_pat.fa:haplotype2-0000620_143362344_143769323_1	406880	406979	404255	0.986941	73.1369
